Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_residual_cal
2025-03-12 23:00:00,10.20338983,11.20338983,18.22033898,578.3220339,26.07627119,25.04576271,0.5783220338999999,,,32.0,21.0,46.769472764360486,2.325766711695073
2025-03-13 00:00:00,8.74137931,9.74137931,18.12068966,575.2931034,25.92931034,24.08793103,0.5752931034,,,32.0,20.0,47.426447007635524,5.858443140805391
2025-03-13 01:00:00,10.83050847,11.83050847,19.47457627,634.779661,25.59322034,24.50847458,0.634779661,,,38.0,18.0,46.851327794960135,-2.5420164103790444
2025-03-13 02:00:00,9.310344828,10.31034483,18.5,553.5862069,25.34655172,24.13793103,0.5535862068999999,,,39.0,17.0,46.099437853838914,8.10822962045996
2025-03-13 03:00:00,15.15254237,16.16949153,18.49152542,508.7118644,25.0440678,24.22033898,0.5087118644,,,38.0,16.0,45.251199455599725,24.328982970458284
2025-03-13 04:00:00,21.15517241,22.25862069,19.53448276,503.5172414,24.71034483,25.40517241,0.5035172414,,,45.0,15.0,43.687390496326636,-7.848526863460493
2025-03-13 05:00:00,19.6779661,20.6779661,20.83050847,580.3728814,24.47627119,25.31016949,0.5803728814,,,46.0,15.0,43.97998436354374,-14.612586501720443
2025-03-13 06:00:00,22.81355932,24.10169492,21.59322034,814.1355932,24.38813559,25.77627119,0.8141355932000001,,,44.0,14.0,43.68407477205001,-13.722814892529302
2025-03-13 07:00:00,16.98275862,17.98275862,20.96551724,1057.344828,24.06724138,23.30862069,1.057344828,,,45.0,14.0,45.414377401501724,-8.658815382043748
2025-03-13 08:00:00,16.05084746,17.05084746,30.22033898,1175.016949,24.34745763,22.45932203,1.175016949,,,39.0,15.0,52.34786884893736,-18.429348638600786
2025-03-13 09:00:00,19.25862069,20.32758621,45.22413793,1069.931034,24.77413793,22.71206897,1.069931034,,,33.0,17.0,61.62575316117123,1.272726176215288
2025-03-13 10:00:00,55.86440678,57.62711864,58.18644068,1007.118644,25.00338983,22.72542373,1.007118644,,,31.0,19.0,69.56771439492574,1.6072175983537837
2025-03-13 11:00:00,18.0,19.18644068,30.0,652.1525424,25.1440678,19.55423729,0.6521525424,,,23.0,21.0,57.67053779778172,2.687822771778001
2025-03-13 12:00:00,12.5,13.5,25.67241379,488.1551724,25.25172414,17.59827586,0.4881551724,,,16.0,23.0,57.94470288855504,13.571425348864206
2025-03-13 13:00:00,11.79661017,12.79661017,29.83050847,426.5932203,25.36440678,17.6779661,0.4265932202999999,,,13.0,25.0,60.49777254590214,0.4658693067630361
2025-03-13 14:00:00,11.5,12.5,32.10344828,436.7241379,25.49310345,18.44310345,0.4367241379,,,14.0,26.0,61.14152347989753,6.433633405104441
2025-03-13 15:00:00,11.66101695,12.66101695,33.44067797,399.6610169,25.65084746,20.55932203,0.3996610169,,,14.0,27.0,59.662924589023845,8.834263691497554
2025-03-13 16:00:00,12.84745763,13.84745763,31.11864407,391.2372881,25.84915254,22.20677966,0.3912372881,,,19.0,27.0,56.851777690323566,12.285490193323387
2025-03-13 17:00:00,14.93103448,15.93103448,30.75862069,432.0689655,25.96896552,22.52758621,0.4320689655,,,21.0,26.0,56.575243764623465,10.56264273854723
2025-03-13 18:00:00,12.55932203,13.55932203,25.72881356,396.5762712,26.03050847,21.97457627,0.3965762712,,,21.0,25.0,54.52325785976836,19.129740318135557
2025-03-13 19:00:00,10.22413793,11.22413793,20.44827586,426.7241379,26.13793103,23.70344828,0.4267241379,,,23.0,24.0,49.74767155944805,3.4145902752661783
2025-03-13 20:00:00,39.37288136,40.93220339,22.96610169,462.9491525,26.14915254,24.22711864,0.4629491525,,,27.0,23.0,50.608598489870445,2.736849127087147
2025-03-13 21:00:00,11.22033898,12.22033898,16.05084746,338.3050847,26.09661017,23.36610169,0.3383050847,,,29.0,22.0,47.521275743384244,1.8278060251080197
