Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_lcs_ppb_rm3h,Temp_lcs_rm3h,RH_lcs_rm3h,O3_baseline_cal,O3_ml_residual_cal
2025-04-09 07:00:00,24.88135593,26.38983051,33.27118644,600.220339,14.53559322,45.75932203,0.6002203389999999,1.01,2.0,61.0,11.0,34.24595752999998,13.736041300000005,48.04008377,17.293785315561518,-3.9944405870650606
2025-04-09 08:00:00,21.91525424,23.11864407,40.13559322,1453.169492,16.74237288,40.85254237,1.453169492,,7.0,57.0,12.0,35.647087473333315,14.819092146666671,45.60223066333334,26.81937932693143,-6.971957921427043
2025-04-09 09:00:00,22.65517241,23.89655172,47.03448276,857.5862069,18.86034483,36.51206897,0.8575862069,1.01,18.0,51.0,14.0,40.147087473333315,16.712770310000007,41.041311123333344,37.04805022226857,-8.407655036640637
2025-04-09 10:00:00,18.94915254,20.01694915,39.18644068,852.2542373,20.99830508,29.37288136,0.8522542373,1.19,28.0,46.0,15.0,42.11883888666665,18.86700759666667,35.579164233333344,42.89609011892191,-13.415293997715981
2025-04-09 11:00:00,20.70689655,21.87931034,43.34482759,543.5344828,22.93448276,24.42931034,0.5435344827999999,0.88,47.0,37.0,18.0,43.188583676666646,20.93104422333334,30.104753556666676,54.42138313209498,-18.571413859501497
2025-04-09 12:00:00,17.66101695,18.74576271,51.01694915,527.2711864,25.06101695,20.33220339,0.5272711864,0.7,64.0,29.0,20.0,44.51607247333332,22.997934930000003,24.71146503000001,68.5044819929746,-13.991519506667235
2025-04-09 13:00:00,19.01694915,20.15254237,58.86440678,544.0677966,29.06271186,16.51016949,0.5440677965999999,0.57,83.0,25.0,21.0,51.07539450666665,25.686070523333342,20.423894406666673,89.02229347673804,5.877352486323259
2025-04-09 14:00:00,14.5,15.5,25.12068966,592.9137931,34.24137931,11.79310345,0.5929137931,0.68,113.0,23.0,22.0,45.00068186333331,29.45503604,16.21182544333334,94.69488056709305,13.885200189057478
2025-04-09 15:00:00,15.74576271,16.81355932,13.98305085,599.6271186,35.48644068,10.35932203,0.5996271186000001,0.66,119.0,22.0,23.0,32.65604909666665,32.930177283333336,12.887531656666674,95.51259099181257,9.386498524305999
2025-04-09 16:00:00,15.84745763,16.86440678,29.13559322,493.5762712,32.86101695,11.30508475,0.4935762712,0.61,118.0,20.0,24.0,22.746444576666647,34.19627898,11.152503410000008,92.28446844343254,13.508205074806073
2025-04-09 17:00:00,12.9137931,13.9137931,68.37931034,303.6896552,27.00689655,14.91896552,0.3036896552,0.61,112.0,18.0,24.0,37.165984803333316,31.78478472666667,12.19445743333334,90.4792381399881,9.564500454255517
2025-04-09 18:00:00,13.0,14.0,67.08474576,323.3389831,25.54576271,15.25084746,0.3233389831,0.56,104.0,18.0,24.0,54.866549773333325,28.47122540333334,13.824965910000008,85.410451360685,9.437177999712363
2025-04-09 19:00:00,18.13793103,19.22413793,41.75862069,333.1551724,23.52068966,18.49137931,0.3331551724,0.6,91.0,18.0,24.0,59.07422559666665,25.35778297333334,16.220397430000006,61.94743518418491,4.19744520930656
2025-04-09 20:00:00,11.83050847,12.83050847,41.27118644,340.7966102,21.32881356,22.18813559,0.3407966101999999,,,,,50.03818429666665,23.465088643333342,18.643454120000005,52.73371268534351,-10.173988755060924
2025-04-09 21:00:00,12.66101695,13.66101695,44.18644068,293.7627119,20.03220339,23.13050847,0.2937627119,,,,,42.40541593666665,21.62723553666667,21.270007790000005,51.077629749944066,-17.104342525353523
2025-04-09 22:00:00,11.51724138,12.51724138,28.24137931,265.7068966,19.11206897,22.5362069,0.2657068966,,,,,37.89966880999998,20.15769530666667,22.61828365333334,41.28391805209685,-14.125517530192576
2025-04-09 23:00:00,11.96610169,12.96610169,28.44067797,266.4576271,18.52542373,23.3440678,0.2664576271,,,,,33.62283265333331,19.223232030000005,23.003594390000007,39.63496768668077,-13.957550412459533
2025-04-10 00:00:00,11.71186441,12.71186441,36.66101695,249.2711864,17.98983051,24.21694915,0.2492711864,,,,,31.114358076666647,18.542441070000006,23.36574128333334,42.62698743364988,-15.130962175200882
2025-04-10 01:00:00,11.05084746,12.05084746,38.11864407,252.0169492,17.6220339,25.18983051,0.2520169492,,,,,34.40677966333332,18.045762713333342,24.250282486666677,41.90295120397837,-14.161300600802388
2025-04-10 02:00:00,10.4137931,11.4137931,42.17241379,241.8448276,16.62068966,26.57241379,0.2418448276,,,,,38.98402493666665,17.410851356666672,25.326397816666674,41.57854306514971,-14.22245251608233
2025-04-10 03:00:00,11.74576271,12.74576271,38.25423729,234.3050847,16.32033898,28.45762712,0.2343050847,,,,,39.51509838333332,16.854354180000005,26.739957140000005,36.99893448068072,-12.170544892087875
2025-04-10 04:00:00,10.25423729,11.25423729,36.22033898,223.3220339,15.96440678,28.76101695,0.2233220339,,,,,38.88233001999998,16.30181180666667,27.930352620000008,35.18618598391217,-12.653059336926068
2025-04-10 05:00:00,11.89830508,12.89830508,36.96610169,326.8474576,15.8220339,29.89830508,0.3268474576,,,,,37.14689265333331,16.035593220000006,29.03898305000001,34.293160577178625,-13.189481101543532
2025-04-10 06:00:00,18.84482759,19.94827586,37.82758621,491.8448276,15.36206897,32.27586207,0.4918448276,,,,,37.004675626666646,15.716169883333336,30.31172803333334,31.993484848946572,-9.818382675038063
2025-04-10 07:00:00,23.01694915,24.44067797,38.89830508,850.5254237,16.45254237,29.58474576,0.8505254237000001,,,,,37.89733099333332,15.878881746666671,30.58630430333334,36.30420389682603,-12.317172654583903
2025-04-10 08:00:00,31.6779661,33.55932203,43.54237288,1206.864407,18.82372881,23.88474576,1.206864407,,,,,40.08942138999998,16.87944671666667,28.581784530000007,48.03394778883617,-19.40537601049071
2025-04-10 09:00:00,21.36206897,22.62068966,43.0862069,886.0689655,20.52586207,18.34310345,0.8860689655,1.65,12.0,31.0,16.0,41.842294953333315,18.600711083333337,23.937531656666675,57.113174519458184,-25.79760631572078
2025-04-10 10:00:00,17.81355932,18.89830508,48.05084746,724.4915254,22.36101695,11.60169492,0.7244915254,1.28,30.0,24.0,18.0,44.893142413333315,20.570202610000006,17.943181376666672,72.34584066043026,-29.092932852372726
2025-04-10 11:00:00,11.60344828,12.62068966,43.18965517,492.6724138,23.92068966,8.081034483,0.4926724138,0.84,54.0,14.0,19.0,44.77556984333332,22.269189560000004,12.675277617666675,77.96482564405011,-23.396025515486546
2025-04-10 12:00:00,10.52542373,11.52542373,38.52542373,342.1525424,25.46949153,5.666101695,0.3421525424,0.78,65.0,11.0,21.0,43.25530878666664,23.917066046666672,8.449610366000007,82.63369852618786,-8.059075021987583
2025-04-10 13:00:00,12.59322034,13.61016949,30.01694915,336.5254237,29.0,4.450847458,0.3365254237,0.5,71.0,7.0,22.0,37.24400934999998,26.130060396666675,6.06599454533334,89.61577057748426,-7.506613298333449
2025-04-10 14:00:00,8.568965517,9.568965517,12.10344828,362.5862069,33.33965517,1.272413793,0.3625862069,0.43,79.0,6.0,23.0,26.881940386666646,29.269715566666672,3.7964543153333405,99.60541670419482,-12.784878592094547
2025-04-10 15:00:00,9.06779661,10.06779661,3.288135593,425.1016949,36.5779661,0.205084746,0.4251016949,0.4,77.0,4.0,24.0,15.136177674333313,32.972540423333335,1.9761153323333405,109.73906347000647,-22.018598743909312
2025-04-10 16:00:00,8.508474576,9.508474576,6.745762712,347.5932203,33.10338983,0.006779661,0.3475932203,0.39,79.0,3.0,24.0,7.3791155283333145,34.340337033333334,0.49475940000000707,97.70059238868477,-12.770323771219028
2025-04-10 17:00:00,9.084745763,10.10169492,20.13559322,267.5932203,26.56440678,0.408474576,0.2675932203,0.38,76.0,2.0,24.0,10.056497174999981,32.081920903333334,0.2067796610000071,83.31437475458911,-5.382668564846781
2025-04-10 18:00:00,7.915254237,8.915254237,23.23728814,266.7288136,24.0440678,1.493220339,0.2667288136,0.38,66.0,2.0,24.0,16.70621469066665,27.903954803333335,0.6361581920000071,77.04124803375488,-5.61316423312617
2025-04-10 19:00:00,8.413793103,9.413793103,24.10344828,271.0862069,21.95689655,5.365517241,0.2710862068999999,0.45,53.0,3.0,23.0,22.492109879999983,24.18845704333334,2.422404052000007,67.06046681098728,-8.477759430575805
2025-04-10 20:00:00,9.711864407,10.71186441,26.38983051,269.1355932,20.49491525,11.18474576,0.2691355932,0.46,41.0,7.0,21.0,24.576855643333314,22.165293200000004,6.014494446666674,57.1528696733453,-17.374670953553938
2025-04-10 21:00:00,9.796610169,10.81355932,24.81355932,266.8644068,19.17966102,12.8,0.2668644068,0.47,34.0,14.0,19.0,25.10227936999998,20.54382427333334,9.783421000333341,51.943624321699595,-18.3662806045155
2025-04-10 22:00:00,8.288135593,9.288135593,25.38983051,273.9830508,18.09152542,10.49152542,0.2739830508,0.49,32.0,17.0,18.0,25.53107344666665,19.255367230000004,11.492090393333342,54.05436419677375,-20.200224284951602
2025-04-10 23:00:00,7.344827586,8.344827586,26.27586207,259.1034483,17.36896552,7.975862069,0.2591034483,0.57,20.0,15.0,17.0,25.493083966666646,18.21338398666667,10.42246249633334,57.362256378397326,-22.27951894345396
2025-04-11 00:00:00,9.779661017,10.77966102,25.50847458,237.8474576,16.55762712,8.671186441,0.2378474576,0.59,,12.0,16.0,25.724722386666645,17.33937268666667,9.046191310000006,55.03557232970489,-21.69766986017206
2025-04-11 01:00:00,10.20338983,11.20338983,27.37288136,237.6101695,15.6559322,9.66779661,0.2376101695,,,12.0,15.0,26.38573933666665,16.527508280000003,8.771615040000006,53.82075912204695,-22.621020408437566
2025-04-11 02:00:00,8.813559322,9.813559322,27.98305085,226.1525424,14.68644068,11.53898305,0.2261525424,,,15.0,14.0,26.954802263333317,15.633333333333338,9.959322033666673,50.76204877279965,-23.86154254575188
2025-04-11 03:00:00,7.745762712,8.745762712,26.54237288,231.8983051,14.1440678,13.45932203,0.2318983050999999,,,19.0,13.0,27.299435029999984,14.828813560000006,11.555367230000007,46.928847909324986,-23.58194445050625
2025-04-11 04:00:00,5.637931034,6.637931034,24.5,226.5172414,13.43965517,13.88448276,0.2265172413999999,0.7,5.0,24.0,11.0,26.341807909999982,14.090054550000005,12.960929280000007,44.81521499419019,-23.237613442726296
2025-04-11 05:00:00,18.38983051,19.44067797,28.61016949,316.0677966,12.73559322,17.84576271,0.3160677966,0.51,7.0,25.0,11.0,26.55084745666665,13.439772063333338,15.063189166666673,41.64284465375212,-22.33125918697051
2025-04-11 06:00:00,23.66101695,24.98305085,30.11864407,512.440678,11.92542373,18.28135593,0.512440678,0.97,3.0,27.0,10.0,27.742937853333313,12.700224040000004,16.670533800000005,41.72951342500483,-22.72850460163632
2025-04-11 07:00:00,25.47457627,27.08474576,31.77966102,765.4745763,13.24237288,16.25084746,0.7654745762999999,1.18,3.0,28.0,9.0,30.169491526666647,12.63446327666667,17.45932203333334,45.71756312127328,-24.25595624673436
2025-04-11 08:00:00,26.33898305,27.96610169,40.50847458,961.3728814,15.87627119,13.44745763,0.9613728814,1.26,5.0,23.0,10.0,34.13559322333331,13.681355933333338,15.993220340000008,56.18291787931506,-27.47575647458503
2025-04-11 09:00:00,21.55172414,22.84482759,57.62068966,882.6206897,18.3,9.655172414,0.8826206897,1.5,9.0,19.0,12.0,43.30294175333332,15.806214690000004,13.117825834666673,73.93108495977572,-31.83839541447728
2025-04-11 10:00:00,11.38983051,12.38983051,38.66101695,552.7457627,20.47627119,4.271186441,0.5527457627,1.43,22.0,14.0,16.0,45.59672706333331,18.21751412666667,9.124605495000006,74.41310464511848,-27.479441461332055
2025-04-11 11:00:00,15.94827586,17.0,48.5862069,524.2241379,22.65,3.012068966,0.5242241379,0.86,45.0,7.0,18.0,48.28930450333331,20.475423730000003,5.646142607000006,86.08292545229037,-28.110353549999125
2025-04-11 12:00:00,11.89830508,12.89830508,42.45762712,388.1525424,24.58983051,1.947457627,0.3881525424,0.66,56.0,4.0,20.0,43.234950323333315,22.572033900000005,3.076904344666673,88.55487951980722,-22.310783143864423
2025-04-11 13:00:00,8.844827586,9.844827586,25.10344828,371.637931,28.64655172,0.837931034,0.371637931,0.53,66.0,3.0,21.0,38.71576076666664,25.295460743333336,1.9324858756666725,91.46175759513889,-9.881247635650626
2025-04-11 14:00:00,10.86440678,11.86440678,10.66101695,416.9661017,34.05762712,0.006779661,0.4169661017,0.4,74.0,2.0,22.0,26.074030783333313,29.09800311666667,0.9307227740000058,103.66839200937942,-16.468384605231805
2025-04-11 15:00:00,11.37931034,12.37931034,2.034482759,432.8793103,37.11206897,0.0,0.4328793103,0.41,76.0,2.0,23.0,12.599649329666647,33.27208260333334,0.2815702316666726,111.7474136174473,-26.64611071472648
2025-04-11 16:00:00,10.3559322,11.3559322,4.322033898,367.1864407,32.3559322,0.362711864,0.3671864407,0.42,78.0,2.0,24.0,5.672511202333315,34.50854276333334,0.12316384166667259,92.91841057929744,-13.018145698458444
2025-04-11 17:00:00,12.65517241,13.70689655,14.87931034,279.8965517,25.51206897,3.79137931,0.2798965517,0.42,66.0,2.0,24.0,7.078608998999981,31.660023380000002,1.3846970580000058,72.13952298072014,-3.3399430013613354
2025-04-11 18:00:00,15.52542373,16.52542373,17.91525424,297.4915254,23.62372881,9.154237288,0.2974915254,0.45,57.0,5.0,23.0,12.372199492666647,27.163909993333338,4.436109487333339,61.291641564888835,-4.733546097019839
2025-04-11 19:00:00,13.84745763,14.84745763,24.15254237,318.8813559,21.15254237,16.51525424,0.3188813559,0.49,51.0,12.0,21.0,18.982368983333313,23.42944671666667,9.82029027933334,49.742164279972194,-11.207613299877641
2025-04-11 20:00:00,17.96551724,19.03448276,29.77586207,369.862069,19.40172414,21.91551724,0.369862069,0.56,40.0,22.0,19.0,23.94788622666665,21.39266510666667,15.861669589333339,43.32287962793659,-13.9875595949098
2025-04-11 21:00:00,15.28813559,16.30508475,31.55932203,329.0677966,17.84237288,25.8779661,0.3290677966,0.63,33.0,29.0,17.0,28.495908823333313,19.465546463333336,21.436245860000003,37.64507290492664,-13.634877321293233
2025-04-11 22:00:00,14.69491525,15.69491525,42.93220339,279.8305085,16.56101695,29.54915254,0.2798305085,0.68,31.0,33.0,15.0,34.75579582999998,17.935037990000005,25.780878626666674,38.75196041040524,-11.845822387546274
2025-04-11 23:00:00,12.38983051,13.38983051,45.81355932,260.1694915,15.63050847,30.20508475,0.2601694915,0.64,30.0,35.0,15.0,40.10169491333331,16.677966100000003,28.54406779666667,38.865355180585475,-12.603022411686586
2025-04-12 00:00:00,11.32758621,12.32758621,45.5,258.7241379,15.20517241,32.32586207,0.2587241379,0.58,30.0,36.0,14.0,44.748587569999984,15.798899276666672,30.69336645333334,36.204028044435056,-6.79961639733167
2025-04-12 01:00:00,10.3220339,11.3220339,49.45762712,237.5084746,14.30338983,34.90508475,0.2375084746,0.55,40.0,38.0,13.0,46.92372881333332,15.046356903333338,32.478677190000006,35.36379277336471,-2.7894369854784666
2025-04-12 02:00:00,9.694915254,10.69491525,51.45762712,240.5084746,13.40169492,37.3440678,0.2405084746,0.55,40.0,41.0,13.0,48.805084746666644,14.303419053333338,34.85833820666667,33.804015764954634,-1.0553279544561183
2025-04-12 03:00:00,9.745762712,10.74576271,42.59322034,236.0508475,13.09322034,34.51694915,0.2360508475,0.54,40.0,43.0,12.0,47.83615819333331,13.599435030000004,35.58870056666667,31.19910289192758,-1.163105819766078
2025-04-12 04:00:00,9.694915254,10.69491525,39.88135593,226.3728814,12.76440678,32.15084746,0.2263728814,0.57,37.0,41.0,12.0,44.64406779666664,13.086440680000004,34.67062147000001,31.819481791401664,-3.1342430864342434
2025-04-12 05:00:00,8.586206897,9.586206897,47.84482759,221.7241379,12.03275862,33.92413793,0.2217241378999999,0.49,36.0,38.0,11.0,43.43980128666664,12.630128580000004,33.53064484666667,34.43388768970798,-2.058169731767515
2025-04-12 06:00:00,10.10169492,11.10169492,42.69491525,253.7627119,12.20847458,32.03728814,0.2537627119,0.48,35.0,39.0,11.0,43.47369958999999,12.33521332666667,32.70409117666667,33.37455847777419,-4.178703418313709
2025-04-12 07:00:00,12.22033898,13.25423729,42.62711864,295.8305085,13.83559322,27.69830508,0.2958305085,0.57,28.0,39.0,11.0,44.38895382666664,12.692275473333337,31.21991038333334,38.47354266647845,-12.818657238276499
2025-04-12 08:00:00,9.881355932,10.88135593,37.98305085,320.3050847,16.09661017,18.75762712,0.3203050847,0.77,23.0,37.0,11.0,41.10169491333332,14.046892656666673,26.164406780000007,47.94098488726668,-23.85846436985939
