Timestamp,PM2_5,PM10,O3_lcs_ppb,Carbon_Monoxide,Temp_lcs,RH_lcs,CO_lcs_ppm,CO_ref,O3_ref,RH_ref,Temp_ref,O3_baseline_cal,O3_ml_cal
2025-03-11 04:00:00,6.137931034,7.137931034,12.12068966,582.9482759,25.56551724,26.46551724,0.5829482759,,,44.0,15.0,44.53311110418214,31.320698412698427
2025-03-11 05:00:00,6.203389831,7.203389831,12.28813559,594.6610169,25.50847458,26.41525424,0.5946610169000001,,,45.0,14.0,44.38230874001313,34.06935714285715
2025-03-11 06:00:00,15.81034483,17.01724138,14.79310345,665.8275862,25.48448276,28.79482759,0.6658275862,,,47.0,14.0,44.80494313956591,42.9631455026455
2025-03-11 07:00:00,20.33898305,21.59322034,14.62711864,831.7118644,25.40677966,28.86610169,0.8317118644,,,45.0,13.0,44.35769100358081,43.57092328042327
2025-03-11 08:00:00,13.84482759,14.84482759,14.51724138,933.7758621,25.32758621,28.15,0.9337758621,,,43.0,14.0,44.17531472358971,44.31438095238095
2025-03-11 09:00:00,14.40677966,15.40677966,19.0,1054.152542,25.20169492,27.75932203,1.054152542,,,41.0,16.0,46.00259739144495,49.382625661375656
2025-03-11 10:00:00,13.62068966,14.62068966,26.20689655,1054.862069,25.18448276,26.99827586,1.054862069,,,35.0,19.0,49.79536948660183,63.40471825396828
2025-03-11 11:00:00,10.81034483,11.81034483,23.20689655,808.5,25.1362069,24.76724138,0.8085,,,28.0,21.0,48.75962408011172,80.27584523809524
2025-03-11 12:00:00,9.016949153,10.01694915,30.6440678,696.2033898,25.2,23.16271186,0.6962033898,,,23.0,23.0,53.28503244743588,80.65051455026453
2025-03-11 13:00:00,8.068965517,9.068965517,20.53448276,616.8793103,25.29655172,21.62068966,0.6168793103000001,,,17.0,25.0,49.08877939774945,69.08951587301587
2025-03-11 14:00:00,10.15254237,11.15254237,24.08474576,617.0508475,25.36949153,20.5779661,0.6170508475,,,13.0,26.0,51.52128950416676,84.1883756613757
2025-03-11 15:00:00,12.3220339,13.3220339,32.61016949,653.3050847,25.49661017,20.45762712,0.6533050846999999,,,13.0,27.0,56.415396111911264,75.0782962962963
2025-03-11 16:00:00,12.18965517,13.18965517,30.84482759,643.1206897,25.59827586,18.89827586,0.6431206896999999,,,14.0,27.0,56.4537997473486,59.64092063492062
2025-03-11 17:00:00,13.13793103,14.13793103,32.62068966,686.0862069,25.69827586,19.02241379,0.6860862069,,,11.0,27.0,57.750353989146035,61.5894603174603
2025-03-11 18:00:00,11.6779661,12.6779661,34.96610169,709.9152542,25.8,24.92881356,0.7099152542,,,18.0,26.0,57.55608142187184,75.49600132275131
