Timestamp,PM2.5_Data,PM10*_Data,Ozone_Data,Carbon_Monoxide_Data,Temperature_Data,Relative_Humidity_Data
07/03/2023 21:20:46,16,17,58,498,20.83,45.27
07/03/2023 21:25:46,14,15,57,493,20.70,45.70
07/03/2023 21:30:46,16,17,52,473,20.60,45.73
07/03/2023 21:35:45,13,14,50,445,20.53,45.30
07/03/2023 21:40:46,11,12,49,432,20.43,44.93
07/03/2023 21:45:53,15,16,47,446,20.40,44.87
07/03/2023 21:50:48,13,14,40,484,20.27,43.30
07/03/2023 21:55:46,13,14,38,488,20.07,41.83
07/03/2023 22:00:45,13,14,39,498,19.93,42.10
07/03/2023 22:05:44,14,15,42,510,19.77,43.20
07/03/2023 22:10:50,14,15,43,515,19.60,44.17
07/03/2023 22:15:44,15,16,41,511,19.50,44.53
07/03/2023 22:20:44,14,15,41,504,19.37,44.77
07/03/2023 22:25:44,14,15,41,485,19.23,44.80
07/03/2023 22:30:44,13,14,41,474,19.13,45.00
07/03/2023 22:35:52,14,15,40,472,19.07,45.13
07/03/2023 22:40:43,17,18,40,475,18.93,45.27
07/03/2023 22:45:43,26,28,40,491,18.83,45.33
07/03/2023 22:50:43,31,33,39,510,18.73,45.47
07/03/2023 22:55:44,30,32,39,512,18.63,45.60
07/03/2023 23:00:43,29,31,40,499,18.50,45.83
07/03/2023 23:05:42,28,30,38,489,18.40,45.97
07/03/2023 23:10:43,27,29,39,479,18.37,46.03
07/03/2023 23:15:42,26,28,38,476,18.27,46.23
07/03/2023 23:20:42,25,26,37,470,18.13,46.23
07/03/2023 23:25:42,23,24,38,464,18.03,46.33
07/03/2023 23:30:42,24,25,37,462,18.03,46.50
07/03/2023 23:35:42,21,22,36,461,17.93,46.77
07/03/2023 23:40:41,19,20,35,458,17.67,47.03
07/03/2023 23:45:42,18,19,35,453,17.50,47.10
07/03/2023 23:50:41,17,18,33,452,11.60,31.47
07/03/2023 23:55:41,17,18,32,447,17.23,47.27
08/03/2023 00:00:41,15,16,29,440,11.37,31.77
08/03/2023 00:05:41,14,15,31,432,16.80,48.00
08/03/2023 00:10:41,14,15,33,425,16.67,48.17
08/03/2023 00:15:40,14,15,29,415,16.53,48.13
08/03/2023 00:20:40,13,14,32,405,16.43,48.00
08/03/2023 00:25:40,15,16,31,410,10.83,32.17
08/03/2023 00:30:40,14,15,34,412,16.13,49.20
08/03/2023 00:35:41,13,14,35,387,15.93,49.00
08/03/2023 00:40:40,12,13,34,377,15.90,48.80
08/03/2023 00:45:39,12,13,31,366,15.83,47.87
08/03/2023 00:50:40,10,11,30,358,15.73,47.73
08/03/2023 00:55:40,9,10,30,348,15.63,47.00
08/03/2023 01:00:39,8,9,31,333,15.50,46.03
08/03/2023 01:05:39,9,10,29,326,15.40,45.70
08/03/2023 01:10:39,9,10,31,314,15.33,45.13
08/03/2023 01:15:39,7,8,30,311,15.27,44.57
08/03/2023 01:20:38,7,8,30,304,15.20,43.80
08/03/2023 01:25:38,7,8,30,301,15.17,43.63
08/03/2023 01:30:38,7,8,30,298,15.10,42.97
08/03/2023 01:35:38,7,8,29,295,15.07,42.70
08/03/2023 01:40:38,7,8,30,293,15.00,42.47
08/03/2023 01:45:37,6,7,29,292,14.93,42.47
08/03/2023 01:50:38,6,7,30,290,14.83,42.40
08/03/2023 01:55:37,6,7,30,292,14.73,42.37
08/03/2023 02:00:37,6,7,30,293,14.70,42.37
08/03/2023 02:05:37,5,6,27,291,14.70,42.10
08/03/2023 02:10:37,6,7,28,290,14.60,42.23
08/03/2023 02:15:37,6,7,27,288,14.40,42.40
08/03/2023 02:20:37,6,7,27,287,14.20,42.67
08/03/2023 02:25:36,5,6,28,286,14.03,42.93
08/03/2023 02:30:36,7,8,29,288,13.93,43.33
